date,state,url,notes
2020-03-17,AC,https://agencia.ac.gov.br/governo-confirma-tres-casos-de-coronavirus-no-acre-e-anuncia-suspensao-das-aulas/,
2020-03-17,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-terca-feira-17-sobre-o-coronavirus/,
2020-03-18,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quarta-feira-18-sobre-o-coronavirus/,
2020-03-19,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quinta-feira-19-sobre-o-coronavirus/,
2020-03-20,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-sexta-feira-20-sobre-o-coronavirus/,usei este
2020-03-20,AC,https://agencia.ac.gov.br/comunicado-sobre-os-novos-casos-confirmados/,
2020-03-20,AC,https://agencia.ac.gov.br/boletim-sesacre-no-2-desta-sexta-feira-20-sobre-o-coronavirus/,
2020-03-21,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-sabado-21-sobre-o-coronavirus/,
2020-03-22,AC,https://agencia.ac.gov.br/covid-19-acre-tem-media-de-dois-casos-por-dia-com-maioria-originaria-de-sp/,
2020-03-22,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-domingo-22-sobre-o-coronavirus/,
2020-03-23,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-segunda-feira-23-sobre-o-coronavirus/,
2020-03-24,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-terca-feira-24-sobre-o-coronavirus/,
2020-03-25,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quarta-feira-25-sobre-o-coronavirus/,
2020-03-26,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quinta-feira-26-sobre-o-coronavirus/,
2020-03-27,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-sexta-feira-27-sobre-o-coronavirus/,
2020-03-28,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-sabado-28-sobre-o-coronavirus/,
2020-03-29,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-domingo-29-sobre-o-coronavirus/,
2020-03-30,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-segunda-feira-30-sobre-o-coronavirus/,
2020-03-31,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-terca-feira-31-sobre-o-coronavirus/,
2020-04-01,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quarta-feira-1o-sobre-o-coronavirus/,
2020-04-02,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quinta-feira-2-sobre-o-coronavirus/,
2020-04-03,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-sexta-feira-3-sobre-o-coronavirus/,
2020-04-04,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-sabado-4-sobre-o-coronavirus/,
2020-04-05,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-domingo-5-sobre-o-coronavirus/,
2020-04-06,AC,https://agencia.ac.gov.br/mulher-de-79-anos-e-o-primeiro-caso-de-morte-por-coronavirus-no-acre/,Primeira morte.
2020-04-06,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-segunda-feira-6-sobre-o-coronavirus/,
2020-04-07,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-terca-feira-7-sobre-o-coronavirus/,
2020-04-08,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quarta-feira-8-sobre-o-coronavirus/,
2020-04-09,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quinta-feira-9-sobre-o-coronavirus/,
2020-04-10,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-sexta-feira-10-sobre-o-coronavirus/,
2020-04-11,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-sabado-11-sobre-o-coronavirus/,
2020-04-12,AC,https://agencia.ac.gov.br/boletim-sesacre-deste-domingo-12-sobre-o-coronavirus/,
2020-04-13,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-segunda-feira-13-sobre-o-coronavirus/,
2020-04-14,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-terca-feira-14-sobre-o-coronavirus/,
2020-04-15,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quarta-feira-15-sobre-o-coronavirus/,
2020-04-16,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-quinta-feira-16-sobre-o-coronavirus/,Link da notícia da morte: https://agencia.ac.gov.br/sesacre-anuncia-a-5a-morte-por-coronavirus-no-acre/
2020-04-17,AC,https://agencia.ac.gov.br/boletim-sesacre-desta-sexta-feira-17-sobre-o-coronavirus/,
2020-03-18,TO,https://saude.to.gov.br/noticia/2020/3/18/boletim-de-acompanhamento--covid-19--1803/,
2020-03-19,TO,https://saude.to.gov.br/noticia/2020/3/19/boletim-de-acompanhamento--sesto--covid-19--1903/,
2020-03-20,TO,https://saude.to.gov.br/noticia/2020/3/20/boletim-de-acompanhamento--sesto--covid-19--2003/,
2020-03-22,TO,https://saude.to.gov.br/noticia/2020/3/22/boletim-de-acompanhamento--sesto--covid-19--2203/,
2020-03-23,TO,https://saude.to.gov.br/noticia/2020/3/23/boletim-de-acompanhamento--sesto--covid-19--2303/,
2020-03-24,TO,https://saude.to.gov.br/noticia/2020/3/24/boletim-de-acompanhamento--sesto--covid-19--2403/,
2020-03-25,TO,https://saude.to.gov.br/noticia/2020/3/25/boletim-de-acompanhamento--sesto--covid-19--2503/,
2020-03-26,TO,https://saude.to.gov.br/noticia/2020/3/26/boletim-de-acompanhamento--covid-19--2603/,
2020-03-27,TO,https://saude.to.gov.br/noticia/2020/3/27/boletim-de-acompanhamento--covid-19--2703/,
2020-03-28,TO,https://saude.to.gov.br/noticia/2020/3/28/boletim-de-acompanhamento--covid-19--2803/,
